459,43,566,43,566,81,459,81
653,48,706,44,709,81,656,85
573,50,651,50,651,81,573,81
714,50,778,50,778,86,714,86
783,52,860,52,860,86,783,86
867,54,976,54,976,91,867,91
983,56,1058,56,1058,95,983,95
1067,63,1145,63,1145,95,1067,95
614,91,673,91,673,125,614,125
676,91,721,91,721,127,676,127
742,93,785,93,785,125,742,125
787,95,824,95,824,120,787,120
846,95,919,95,919,125,846,125
924,97,994,97,994,132,924,132
564,129,714,129,714,159,564,159
719,134,862,134,862,163,719,163
867,136,908,136,908,163,867,163
912,138,976,138,976,166,912,166
981,138,1044,138,1044,168,981,168
571,159,748,159,748,186,571,186
769,160,884,165,882,192,768,187
906,162,1039,171,1037,206,904,197
462,211,595,215,593,271,461,268
613,210,802,215,801,276,611,271
819,218,999,218,999,277,819,277
1019,225,1147,225,1147,280,1019,280
462,301,569,304,569,337,461,334
573,304,690,307,689,342,572,338
694,307,771,307,771,339,694,339
617,366,1091,375,1090,436,616,427
464,380,530,380,530,416,464,416
537,387,585,387,585,416,537,416
466,446,514,446,514,480,466,480
564,446,621,446,621,478,564,478
519,448,560,448,560,478,519,478
644,448,701,448,701,478,644,478
703,453,799,453,799,478,703,478
462,492,543,487,545,536,464,541
562,489,674,493,673,542,561,539
687,494,899,494,899,546,687,546
466,550,553,550,553,587,466,587
557,550,630,550,630,582,557,582
655,553,728,553,728,585,655,585
733,553,769,553,769,585,733,585
769,553,846,553,846,585,769,585
883,558,1113,561,1113,604,882,600
726,608,821,615,818,652,723,645
851,610,940,610,940,646,851,646
466,612,539,612,539,644,466,644
1202,610,1279,610,1279,651,1202,651
1289,608,1384,615,1381,657,1286,650
541,614,610,614,610,644,541,644
635,614,703,614,703,646,635,646
940,616,1003,616,1003,648,940,648
1029,615,1188,619,1188,651,1028,648
465,674,536,670,538,704,467,707
540,675,625,672,627,705,542,709
742,673,778,673,778,705,742,705
651,676,737,676,737,705,651,705
776,676,871,676,871,712,776,712
468,699,606,711,602,762,463,750
614,712,739,712,739,753,614,753
759,708,893,720,889,764,755,752
903,714,990,714,990,755,903,755
1006,714,1136,714,1136,755,1006,755
1147,714,1229,714,1229,755,1147,755
468,762,528,762,528,794,468,794
533,757,662,766,659,802,531,794
662,762,712,762,712,794,662,794
737,762,821,762,821,794,737,794
826,762,862,762,862,794,826,794
860,764,1015,764,1015,794,860,794
1019,769,1124,769,1124,812,1019,812
1133,774,1161,774,1161,810,1133,810
77,785,120,785,120,812,77,812
120,785,166,785,166,817,120,817
166,785,198,785,198,810,166,810
200,785,257,785,257,810,200,810
264,792,451,795,450,827,263,824
77,815,138,815,138,840,77,840
143,815,249,821,247,845,142,839
466,819,553,819,553,869,466,869
565,817,703,827,700,872,562,861
714,816,802,827,796,875,708,864
810,821,899,821,899,860,810,860
919,819,1047,819,1047,860,919,860
1060,819,1142,819,1142,860,1060,860
